OBJECTID_1,OBJECTID,Fire_Name,Fire_Year,Cause,Acres,Perimeter,Shape_Leng,Complex,Fire_Num,Label,Agency,TOT_ACRES_,Shape_Le_1,Shape_STArea_1,Shape_STLength_1,time_,comments,unit_id,fire,inc_num,Shape__Area,Shape__Length
604,177,Spring,2017,,4.32966679872052,,725.05686059,,23,,BLM,4.32965471,,,,, ,MT/MCFO,,,17521.4859924316,725.04126531944
605,178,Spring Creek,2017,,44.7727203371404,,1941.53363176,,431,,BLM,44.77257853,,,,, ,MT/MCFO,,,181188.188148499,1942.06254508325
606,180,Stocker-Rosebud,2017,,6.95815375523283,,625.12174294,,574,,CTY,6.95813169,,,,, ,MT/LG29,,,28158.558807373,625.075648075616
607,181,Stuart Draw,2017,,3.19230721296899,,483.61636967,,74,,BLM,3.19229656,,,,, ,MT/MCFO,,,12918.7689819336,483.65703969424
608,182,Sweeny,2017,,726.764410602991,,8896.72358131,,488,,BLM,726.76215902,,,,, ,MT/MCFO,,,2941102.07907104,8898.81842642917
609,183,Tango-Rosebud,2017,,5.32839377709251,,721.97856539,,588,,CTY,5.32837754,,,,, ,MT/LG29,,,21563.1773986816,722.165822463835
610,184,Tauck,2017,,383.490552432651,,6382.08486623,,406,,BLM,383.48933006,,,,, ,MT/MCFO,,,1551926.28962708,6379.5119647629
611,191,Ten Mile,2017,,15.4095952924195,,1332.02374226,,54,,BLM,15.40954341,,,,, ,MT/MCFO,,,62360.2029571533,1332.25497757261
612,192,Three,2017,,189.562364110135,,4506.68831298,,502,,BLM,189.56176555,,,,, ,MT/MCFO,,,767129.256866455,4506.66920147229
613,193,Thurlow-Rosebud,2017,,0.0279055943856268,,46.29481432,,493,,CTY,0.02790544,,,,, ,MT/LG29,,,112.929565429688,46.2993470988714
614,196,Tidwell,2017,,11285.2674185565,,49154.6129658,,549,,BLM,11285.232175,,,,, ,MT/MCFO,,,45669714.1664352,49157.6621199067
615,198,Timber,2017,,6.37104721460341,,1018.20575442,,300,,BLM,6.37102781,,,,, ,MT/MCFO,,,25782.6328125,1018.26567285994
616,199,Tomason Rail-Prairie,2017,,15.9290408667865,,1320.88668275,,93,,CTY,15.92899175,,,,, ,MT/LG45,,,64462.3338317871,1321.09145057022
617,200,Tower,2017,,30.2344896280938,,1452.45862762,,366,,DNRC,30.23439006,,,,, ,MT/EAS,,,122354.229644775,1452.43137589505
618,201,Trail,2017,,356.295091309413,,5394.48775483,,397,,BLM,356.29396388,,,,, ,MT/MCFO,,,1441870.48399353,5392.86641996406
619,202,Trail Creek,2017,,54.6162618557824,,2647.39951106,,413,,BLM,54.61503948,,,,, ,MT/MCFO,,,221023.423904419,2648.02108246845
620,203,Tranmoe Island,2017,,22.4596763134206,,1173.2348551,,240,,BLM,22.45960391,,,,, ,MT/MCFO,,,90890.7965698242,1173.38327722904
621,204,Trembling,2017,,972.519768960466,,10328.803069,,320,,BLM,972.51666898,,,,, ,MT/MCFO,,,3935635.29481506,10330.0779743047
622,205,Tripp,2017,,6.68599831653976,,1050.53112531,,78,,BLM,6.68597612,,,,, ,MT/MCFO,,,27057.1910095215,1050.55151097621
623,206,Twin Buttes,2017,,200.604116052677,,5912.71763103,,372,,BLM,200.60349179,,,,, ,MT/MCFO,,,811813.529785156,5911.98105574011
624,207,Two Tree,2017,,1.68739964127279,,506.45712174,,270,,BLM,1.6873934,,,,, ,MT/MCFO,,,6828.6410369873,506.545575224254
625,208,Uniform,2017,,129.223778787281,,3695.9372683,,592,,BLM,129.22337847,,,,,Coal Seam,MT/MCFO,,,522948.46446228,3696.90211654029
626,209,Victor-Rosebud,2017,,0.803511319177875,,324.44967555,,480,,CTY,0.8035083,,,,, ,MT/LG29,,,3251.68469238281,324.337265357582
